Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;7;39;67;26;5;-26;84;118;52;24;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;3;-25;-14;4;-2;1;2;3;4;-4;18;32;21;-3;3;0;0;4;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;20;17;-10;-17;0;106;87;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;138;19;36;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;797;1007;1053;769;601;722;-192;852;859;824;770;590;937;519;415;410;361;399;573;496;437;284;331;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;822;578;237;257;197;32;321;300;63;205;251;328;348;336;339;312;256;181;172;163;140;113;105;81;80;81;83;81;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;756;621;924;695;788;-221;105;689;642;547;407;496;302;50;47;117;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;1404;1204;1112;641;416;312;387;659;441;547;581;593;489;-1226;252;821;595;200;516;465;442;295;372;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;1088;1080;520;495;386;352;151;292;352;258;239;165;121;100;49;0;0;0;0;0;1;8;4;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;754;794;974;692;622;148;228;437;487;499;449;329;398;289;269;374;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;5802 JP Equity;JPY;310;421;435;382;355;181;179;500;476;348;360;232;37;96;255;147;193;191;198;222;162;183;161;184;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;7259 JP Equity;JPY;549;564;559;582;532;207;159;490;385;365;291;253;330;217;-37;198;121;126;162;175;127;88;93;66;0;0;0;0;0;0;0;0;0;0;0
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;MGA US Equity;USD;659;360;324;202;194;-18;257;326;264;292;387;373;326;290;348;229;172;170;115;102;96;48;43;23;20;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;6201 JP Equity;JPY;411;419;336;310;230;138;159;378;357;257;206;179;166;162;138;111;91;104;125;89;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Delphi Automotive;Auto & Truck Part;UK;DLPH US Equity;USD;282;256;212;305;258;338;166;-522;130;-55;4078;-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;TRW Automotive Holdings;Auto & Truck Part;USA;TRW US Equity;USD;96;114;-33;-47;166;67;126;155;166;124;135;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Goodyear;Auto & Truck Part;USA;GT US Equity;USD;-1834;138;203;201;172;7;209;255;60;250;208;112;1213;-69;19;56;286;221;21;315;299;296;263;196;94;282;187;359;0;0;0;0;0;0;0
Auto;EU;Valeo;Auto & Truck Part;France;VLEEY US Equity;EUR;157;156;193;192;138;113;71;121;88;80;23;69;110;37;131;235;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Lear;Auto & Truck Part;USA;LEA US Equity;USD;121;193;-638;69;25;5;86;90;55;194;128;154;157;64;197;174;94;143;102;63;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;JTEKT;Auto & Truck Part;Japan;6473 JP Equity;JPY;171;169;145;205;117;37;115;177;139;155;84;67;47;20;-64;22;11;27;59;48;30;10;7;19;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Boshoku;Auto & Truck Part;Japan;3116 JP Equity;JPY;120;140;140;143;155;92;116;119;130;105;53;20;18;14;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;GKN;Auto & Truck Part;UK;GKNCF US Equity;GBP;73;127;135;72;31;-23;-19;2;9;25;59;114;59;39;176;163;174;160;192;190;133;62;100;73;107;115;102;0;0;0;0;0;0;0;0
Auto;Japan;Calsonic Kansei;Auto & Truck Part;Japan;7248 JP Equity;JPY;48;33;68;57;-31;27;251;65;41;35;52;42;73;23;29;-26;18;40;56;58;58;29;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Autoliv;Auto & Truck Part;Sweden;ALV US Equity;USD;198;244;183;201;210;-7;76;150;59;173;149;120;92;60;117;132;124;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Rubber;Auto & Truck Part;Japan;5110 JP Equity;JPY;252;251;302;150;134;67;100;159;116;159;149;144;64;37;70;124;51;38;44;22;50;54;74;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Pirelli & C;Auto & Truck Part;Italy;PPAMF US Equity;EUR;211;289;266;45;183;129;102;195;169;156;118;88;91;165;995;94;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;BorgWarner;Auto & Truck Part;USA;BWA US Equity;USD;293;218;239;195;82;-19;33;114;32;55;81;73;77;40;55;75;46;55;13;37;43;24;3;4;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Yokohama Rubber;Auto & Truck Part;Japan;5101 JP Equity;JPY;185;199;233;161;81;76;20;-9;79;8;43;55;67;71;64;-42;34;32;72;46;41;35;56;0;0;0;0;0;0;0;0;0;0;0;0
