Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;397;7606;5161;71497;4878;5168;4658;2411;4846;424;330;21;129;140;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;209;335;417;381;345;307;165;169;154;314;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;318;535;468;0;11;62;0;0;119;118;65;30;18;22;19;85;85;37;28;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;770;789;1232;1197;1174;1128;186;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;2251;2499;1279;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;2915;3083;4401;5816;3483;3887;2961;1319;1244;1547;1310;1059;866;914;1310;1244;1055;392;739;1659;1586;2141;1101;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;4708;4560;5321;4533;2652;3168;3201;3255;4166;1578;1631;1777;1827;1395;1315;1283;998;806;752;630;670;500;503;491;483;445;342;198;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;6175;6962;5548;7846;10313;8550;13656;14522;1428;1145;2047;1781;1987;2251;1497;1172;2289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;3048;2694;4197;4663;3682;5806;4078;3713;3248;3191;2847;3444;2305;3575;1664;1251;1232;991;1293;1776;2604;2601;2631;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;1030;1141;0;90;259;156;91;301;261;369;517;472;500;522;335;0;0;0;0;0;508;305;315;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;1883;1989;2676;3210;4324;5112;4818;4269;3611;3756;4143;4079;3177;2666;2294;1707;1489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;5802 JP Equity;JPY;2710;2512;3702;2552;2558;2252;1924;1653;2485;2638;2720;2739;2305;2477;2503;2507;2393;2385;2220;2169;2251;2291;1992;1620;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;7259 JP Equity;JPY;2688;2916;3364;3763;4142;4207;3465;2273;2073;1928;1437;1121;519;515;864;958;666;455;331;662;586;398;552;301;0;0;0;0;0;0;0;0;0;0;0
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;MGA US Equity;USD;811;102;112;46;47;115;143;337;605;700;984;308;287;358;459;461;138;181;515;158;32;74;208;505;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;6201 JP Equity;JPY;5082;5104;6913;6552;5982;6817;6007;3535;3373;3543;2806;2031;1892;2320;2491;1592;1135;903;767;483;458;0;0;0;0;0;0;0;0;0;0;0;0;0;0
