Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;272;290;255;217;208;96;10;9;7;7;0;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;471;14239;6640;119423;8357;8133;6670;4242;6557;1489;1177;296;405;422;458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;269;435;512;470;438;383;298;346;285;320;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;793;1036;983;328;112;147;42;9;125;175;112;32;21;25;19;85;85;37;28;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;966;937;1322;1273;1231;1200;228;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;2647;2879;1344;437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;6532;5869;7250;8496;5873;6085;4928;3315;4151;4303;3129;2547;2181;2447;2991;2758;2257;1620;2023;3025;2721;3089;1871;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;9354;6670;8073;7454;5460;6033;5517;5150;6291;3049;3010;3060;2670;2139;2105;2078;1712;1388;1301;1071;1088;867;740;672;664;599;465;318;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;11117;10870;8343;10542;12942;11304;15812;17037;2846;3388;4549;3869;3914;3847;2775;2519;3559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;7015;6240;9146;8958;7444;9873;7820;7311;7335;6272;6023;6292;5032;6069;3873;3292;2890;2798;3109;3765;4427;4201;4117;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;7092;6548;665;740;788;569;430;819;693;663;764;653;637;652;623;0;0;0;0;0;632;400;408;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;9491;9072;10111;9310;9662;10154;9357;9413;8370;8519;9581;7864;6764;6138;5730;4169;3718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;5802 JP Equity;JPY;3926;4140;4958;3730;3790;3389;2741;2717;3676;3794;3607;3716;3141;3594;3928;3051;2895;2892;2771;2722;2751;2709;2323;1934;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;7259 JP Equity;JPY;4740;4722;5364;5348;5519;5472;4464;3387;3465;3299;2527;2151;1325;1647;2107;1469;982;790;665;1015;915;703;822;550;0;0;0;0;0;0;0;0;0;0;0
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;MGA US Equity;USD;1855;1042;967;753;680;644;733;1043;1214;1368;1548;898;1386;733;767;734;392;268;607;234;110;144;282;586;71;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;6201 JP Equity;JPY;13157;12449;13277;11037;10180;11202;9047;8267;10463;10342;6922;5468;3946;5232;6369;1789;1298;1076;946;681;642;0;0;0;0;0;0;0;0;0;0;0;0;0;0
