Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;16;26;30;58;76;47;46;24;38;69;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;31;35;22;2;3;7;11;9;11;8;3;2;3;7;9;15;13;12;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;0;108;84;63;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;122;96;32;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;78;100;84;83;59;63;54;58;49;41;33;30;33;48;42;54;40;25;33;40;50;47;48;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;254;248;233;174;170;239;258;277;248;121;111;114;122;129;128;153;134;123;73;57;41;48;48;58;51;40;31;16;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;438;1224;575;991;957;1076;1100;309;214;185;183;185;217;232;238;187;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;123;141;206;210;214;278;328;281;197;138;105;103;129;221;191;126;141;163;207;295;302;311;325;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;30;35;23;35;34;20;17;21;39;41;49;61;72;110;113;0;0;0;0;0;135;123;141;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;181;211;255;302;327;344;398;377;429;397;0;267;0;244;292;419;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;5802 JP Equity;JPY;56;67;63;67;59;66;80;84;79;60;52;52;62;83;99;101;117;107;122;156;151;146;149;149;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;7259 JP Equity;JPY;54;60;68;70;67;65;38;32;30;23;22;21;21;21;28;23;16;15;20;40;38;47;44;37;0;0;0;0;0;0;0;0;0;0;0
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;MGA US Equity;USD;47;34;16;19;11;27;51;52;50;60;61;21;23;35;45;16;25;15;9;0;4;14;43;71;73;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;6201 JP Equity;JPY;133;153;182;201;180;191;191;165;154;109;90;84;84;89;60;22;16;21;43;33;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
